URL,チャンネル名,登録者数,総再生数,投稿数,軍事部系最後の投稿日,初投稿日,失踪期間,活動期間(day),投稿頻度(1/year),平均再生数,登録者増加数,前回調査以降の投稿数
https://www.youtube.com/user/nobori031404130814,Parutxie-A KFP,1990,738643,38,2019/09/20,2015/10/28,1043,2466,5.62,19438.0,-10,-8
https://www.youtube.com/channel/UCiPopwfnecQmGOU0S8FmevQ,鮭酒,1510,256301,2,2015/10/09,2015/10/09,2485,2485,0.29,128150.5,0,0
https://www.youtube.com/channel/UCGXtZ4-cWuPKKyC8ao9Izxw,河村ケンジロウ,0,0,0,2013/06/14,2013/06/14,3332,3332,0.00,#DIV/0!,-1070,0
https://www.youtube.com/channel/UC8n0XLOUR5Spj7BPsC3vr4w,yuma 2002,1790,433022,137,2022/05/19,2016/06/12,71,2238,22.34,3160.7,50,1
https://www.youtube.com/channel/UCkC-XW5O1pw9c9tXjdvRJ-w,三沢みれん,2650,721588,274,2022/07/23,2014/04/04,6,3038,32.92,2633.5,120,8
https://www.youtube.com/channel/UCcrIcnVK9IzIt0L5cQCj9ZQ,みもっ!,1860,266771,107,2021/09/12,2018/04/06,320,1575,24.80,2493.2,120,0
https://www.youtube.com/channel/UCB5JciDmn6br8HP4uXOw0aw,MINWORチャンネル【ミンワーチャンネル】軍事:ANF帝国,3250,2533639,368,2022/03/16,2018/04/10,135,1571,85.50,6884.9,100,5
https://www.youtube.com/channel/UCLf176qimbymoSwEFl7wv1w,籠目,1250,178182,9,2021/09/25,2020/09/18,307,679,4.84,19798.0,40,1
https://www.youtube.com/channel/UCKeDkguxStk5hiqz0-v_dSQ,ゆうぎり,2020,573737,72,2019/03/11,2020/06/26,1236,763,34.44,7968.6,0,0
https://www.youtube.com/channel/UCaTLbvQKs4MRLEOiSWEwxCA,oikawa 200,1220,128644,14,2020/09/17,2018/12/25,680,1312,3.89,9188.9,50,0
